filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0038_brightness_decrease.jpg,binary_hsv,True,True,89293,35.01,153.84,9.98,7.88,50.5,11.14,1114.4
burn_0166_horizontal_flip.jpg,binary_hsv,True,True,105284,41.28,68.71,10.14,5.86,50.5,13.14,1313.98
burn_0166_vertical_flip.jpg,binary_hsv,True,True,105289,41.29,71.14,10.14,5.86,50.5,13.14,1314.3
burn_0166_rotation_90.jpg,binary_hsv,True,True,105229,41.26,68.55,5.86,10.14,50.5,13.13,1313.35
burn_0166_brightness_increase.jpg,binary_hsv,True,True,110714,42.57,62.4,10.04,5.96,51.0,13.55,1355.05
burn_0166_brightness_decrease.jpg,binary_hsv,True,True,105261,41.27,63.0,10.14,5.86,50.5,13.14,1313.66
burn_0042_brightness_decrease.jpg,binary_hsv,True,True,173447,50.68,133.32,8.21,8.75,58.5,16.13,1613.19
burn_0064_horizontal_flip.jpg,binary_hsv,True,True,194539,79.4,60.41,10.34,10.34,49.5,25.27,2527.38
burn_0064_vertical_flip.jpg,binary_hsv,True,True,194439,79.35,60.08,10.34,10.34,49.5,25.26,2525.79
burn_0064_rotation_90.jpg,binary_hsv,True,True,194303,79.3,60.01,10.34,10.34,49.5,25.24,2524.2
burn_0064_brightness_increase.jpg,binary_hsv,True,True,195938,78.38,57.32,10.24,10.24,50.0,24.95,2494.91
burn_0064_brightness_decrease.jpg,binary_hsv,True,True,192216,78.45,59.3,10.34,10.34,49.5,24.97,2497.14
burn_0100_rotation_90.jpg,binary_hsv,True,False,131754,1626.59,335.96,56.89,38.56,9.0,517.76,51775.97
burn_0100_brightness_decrease.jpg,binary_hsv,True,True,131574,1624.37,370.89,38.22,56.89,9.0,517.05,51705.3
burn_0131_horizontal_flip.jpg,binary_hsv,True,True,22602,46.7,247.42,18.55,6.55,22.0,14.87,1486.51
burn_0131_vertical_flip.jpg,binary_hsv,True,True,22587,46.67,224.7,18.55,6.18,22.0,14.86,1485.55
