filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0153_brightness_increase.jpg,hole_filled,True,False,262144,2621.44,204.4,51.2,51.2,10.0,834.43,83443.03
burn_0011_brightness_decrease.jpg,hole_filled,True,True,250777,3470.96,285.45,60.24,60.24,8.5,1104.84,110484.09
burn_0067_vertical_flip.jpg,hole_filled,True,False,262144,4096.0,255.5,64.0,64.0,8.0,1303.8,130379.73
burn_0067_brightness_increase.jpg,hole_filled,True,False,260337,3603.28,249.31,60.24,60.24,8.5,1146.96,114695.96
burn_0067_brightness_decrease.jpg,hole_filled,True,False,261709,3230.98,229.15,56.89,56.89,9.0,1028.45,102845.29
burn_0172_horizontal_flip.jpg,hole_filled,True,True,262144,2621.44,204.4,51.2,51.2,10.0,834.43,83443.03
burn_0172_brightness_increase.jpg,hole_filled,True,True,261864,2375.18,200.1,48.76,48.76,10.5,756.04,75604.33
burn_0172_brightness_decrease.jpg,hole_filled,True,True,261832,71.53,33.77,8.46,8.46,60.5,22.77,2276.87
burn_0037_horizontal_flip.jpg,hole_filled,True,True,262144,102.79,40.48,10.14,10.14,50.5,32.72,3271.91
burn_0037_vertical_flip.jpg,hole_filled,True,True,170460,66.84,62.24,10.14,8.55,50.5,21.28,2127.58
burn_0037_rotation_90.jpg,hole_filled,True,True,170423,66.83,61.21,8.55,10.14,50.5,21.27,2127.26
burn_0037_brightness_increase.jpg,hole_filled,True,True,237364,93.07,50.29,10.14,10.14,50.5,29.63,2962.51
burn_0037_brightness_decrease.jpg,hole_filled,True,True,237259,96.83,54.82,10.34,10.34,49.5,30.82,3082.19
burn_0044_horizontal_flip.jpg,hole_filled,True,True,68705,141.95,142.33,20.27,8.36,22.0,45.18,4518.41
burn_0044_vertical_flip.jpg,hole_filled,True,True,68666,141.87,136.26,20.27,8.36,22.0,45.16,4515.86
burn_0044_rotation_90.jpg,hole_filled,True,True,68780,142.11,140.45,8.36,20.36,22.0,45.24,4523.5
burn_0044_brightness_increase.jpg,hole_filled,True,True,80211,158.44,142.97,20.98,9.6,22.5,50.43,5043.3
burn_0044_brightness_decrease.jpg,hole_filled,True,True,69130,149.55,150.03,20.84,8.56,21.5,47.6,4760.32
burn_0105_horizontal_flip.jpg,hole_filled,True,False,135660,1877.65,832.94,57.41,51.76,8.5,597.67,59767.46
burn_0039_horizontal_flip.jpg,hole_filled,True,True,6092,2.39,15.81,1.58,2.06,50.5,0.76,76.08
