filename,method,coin_detected,coin_in_corner,area_pixels,area_cm2,perimeter_cm,width_cm,height_cm,pixels_per_cm,ratio,percentage
burn_0166_rotation_90.jpg,opening,True,True,104567,41.0,64.51,5.82,10.14,50.5,13.05,1305.07
burn_0166_brightness_increase.jpg,opening,True,True,110127,42.34,58.68,10.04,5.96,51.0,13.48,1347.72
burn_0166_brightness_decrease.jpg,opening,True,True,104442,40.95,62.94,10.14,5.86,50.5,13.03,1303.48
burn_0042_brightness_decrease.jpg,opening,True,True,169963,49.66,154.88,8.21,8.75,58.5,15.81,1580.73
burn_0064_horizontal_flip.jpg,opening,True,True,192324,78.49,58.89,10.34,10.34,49.5,24.98,2498.41
burn_0064_vertical_flip.jpg,opening,True,True,192361,78.51,58.82,10.34,10.34,49.5,24.99,2499.05
burn_0064_rotation_90.jpg,opening,True,True,192293,78.48,60.91,10.34,10.34,49.5,24.98,2498.1
burn_0064_brightness_increase.jpg,opening,True,True,192932,77.17,56.72,10.24,10.24,50.0,24.56,2456.4
burn_0064_brightness_decrease.jpg,opening,True,True,188157,76.79,58.27,10.34,10.34,49.5,24.44,2444.3
burn_0100_rotation_90.jpg,opening,True,False,131011,1617.42,353.78,56.89,38.22,9.0,514.84,51484.08
burn_0100_brightness_decrease.jpg,opening,True,True,130384,1609.68,360.5,38.22,56.89,9.0,512.38,51237.71
burn_0131_horizontal_flip.jpg,opening,True,True,14999,30.99,124.98,13.82,3.64,22.0,9.86,986.44
burn_0131_vertical_flip.jpg,opening,True,True,15032,31.06,112.39,11.64,3.64,22.0,9.89,988.67
burn_0131_rotation_90.jpg,opening,True,True,15211,31.43,122.87,3.64,13.82,22.0,10.0,1000.45
burn_0131_brightness_increase.jpg,opening,True,True,44908,88.71,235.1,20.98,7.82,22.5,28.24,2823.73
burn_0131_brightness_decrease.jpg,opening,True,True,14325,30.99,98.92,11.86,3.72,21.5,9.86,986.44
burn_0180_rotation_90.jpg,opening,True,True,23129,10.47,64.49,8.13,3.06,47.0,3.33,333.27
burn_0180_brightness_increase.jpg,opening,True,True,25100,11.12,66.93,3.03,8.08,47.5,3.54,353.96
burn_0092_horizontal_flip.jpg,opening,True,True,142097,41.52,135.76,8.29,8.75,58.5,13.22,1321.62
burn_0092_vertical_flip.jpg,opening,True,True,142105,41.52,135.08,8.29,8.75,58.5,13.22,1321.62
burn_0092_rotation_90.jpg,opening,True,True,142029,41.5,140.72,8.75,8.62,58.5,13.21,1320.99
burn_0092_brightness_increase.jpg,opening,True,True,159986,44.44,98.03,8.4,8.53,60.0,14.15,1414.57
burn_0092_brightness_decrease.jpg,opening,True,True,140735,41.84,131.2,8.69,8.83,58.0,13.32,1331.81
